"Rentrée";"Personnel";"Sexe";"Catégorie";"Grandes.disciplines";"classe_age3";"Effectif"
2012;"titulaires";"Féminin";"PR";"Odontologie";"56 ans et plus";21
2012;"titulaires";"Féminin";"PR";"Personnel des grands établissements";"36 à 55 ans";63
2012;"titulaires";"Féminin";"PR";"Personnel des grands établissements";"56 ans et plus";71
2012;"titulaires";"Féminin";"PR";"Pharmacie";"36 à 55 ans";137
2012;"titulaires";"Féminin";"PR";"Pharmacie";"56 ans et plus";63
2012;"titulaires";"Féminin";"PR";"Sciences";"35 ans et moins";4
2012;"titulaires";"Féminin";"PR";"Sciences";"36 à 55 ans";1047
2012;"titulaires";"Féminin";"PR";"Sciences";"56 ans et plus";255
2012;"titulaires";"Masculin";"AM2D";"Non spécifiée";"35 ans et moins";722
2012;"titulaires";"Masculin";"AM2D";"Non spécifiée";"36 à 55 ans";4634
2012;"titulaires";"Masculin";"AM2D";"Non spécifiée";"56 ans et plus";1973
2012;"titulaires";"Masculin";"MCF";"Droit, économie et gestion";"35 ans et moins";520
2012;"titulaires";"Masculin";"MCF";"Droit, économie et gestion";"36 à 55 ans";1702
2012;"titulaires";"Masculin";"MCF";"Droit, économie et gestion";"56 ans et plus";559
2012;"titulaires";"Masculin";"MCF";"Lettres et sciences humaines";"35 ans et moins";578
2012;"titulaires";"Masculin";"MCF";"Lettres et sciences humaines";"36 à 55 ans";3116
2012;"titulaires";"Masculin";"MCF";"Lettres et sciences humaines";"56 ans et plus";989
2012;"titulaires";"Masculin";"MCF";"Médecine";"35 ans et moins";62
2012;"titulaires";"Masculin";"MCF";"Médecine";"36 à 55 ans";462
2012;"titulaires";"Masculin";"MCF";"Médecine";"56 ans et plus";245
2012;"titulaires";"Masculin";"MCF";"Odontologie";"35 ans et moins";18
2012;"titulaires";"Masculin";"MCF";"Odontologie";"36 à 55 ans";154
2012;"titulaires";"Masculin";"MCF";"Odontologie";"56 ans et plus";96
2012;"titulaires";"Masculin";"MCF";"Personnel des grands établissements";"35 ans et moins";46
2012;"titulaires";"Masculin";"MCF";"Personnel des grands établissements";"36 à 55 ans";200
2012;"titulaires";"Masculin";"MCF";"Personnel des grands établissements";"56 ans et plus";44
2012;"titulaires";"Masculin";"MCF";"Pharmacie";"35 ans et moins";110
2012;"titulaires";"Masculin";"MCF";"Pharmacie";"36 à 55 ans";307
2012;"titulaires";"Masculin";"MCF";"Pharmacie";"56 ans et plus";88
2012;"titulaires";"Masculin";"MCF";"Sciences";"35 ans et moins";3164
2012;"titulaires";"Masculin";"MCF";"Sciences";"36 à 55 ans";7121
2012;"titulaires";"Masculin";"MCF";"Sciences";"56 ans et plus";1065
2012;"titulaires";"Masculin";"PR";"Droit, économie et gestion";"35 ans et moins";78
2012;"titulaires";"Masculin";"PR";"Droit, économie et gestion";"36 à 55 ans";959
2012;"titulaires";"Masculin";"PR";"Droit, économie et gestion";"56 ans et plus";684
2012;"titulaires";"Masculin";"PR";"Lettres et sciences humaines";"35 ans et moins";2
2012;"titulaires";"Masculin";"PR";"Lettres et sciences humaines";"36 à 55 ans";1363
2012;"titulaires";"Masculin";"PR";"Lettres et sciences humaines";"56 ans et plus";1506
2012;"titulaires";"Masculin";"PR";"Médecine";"36 à 55 ans";1907
2012;"titulaires";"Masculin";"PR";"Médecine";"56 ans et plus";1662
2012;"titulaires";"Masculin";"PR";"Odontologie";"35 ans et moins";1
2012;"titulaires";"Masculin";"PR";"Odontologie";"36 à 55 ans";33
2012;"titulaires";"Masculin";"PR";"Odontologie";"56 ans et plus";48
2012;"titulaires";"Masculin";"PR";"Personnel des grands établissements";"36 à 55 ans";203
2012;"titulaires";"Masculin";"PR";"Personnel des grands établissements";"56 ans et plus";278
2012;"titulaires";"Masculin";"PR";"Pharmacie";"35 ans et moins";1
2012;"titulaires";"Masculin";"PR";"Pharmacie";"36 à 55 ans";190
2012;"titulaires";"Masculin";"PR";"Pharmacie";"56 ans et plus";191
2012;"titulaires";"Masculin";"PR";"Sciences";"35 ans et moins";60
2012;"titulaires";"Masculin";"PR";"Sciences";"36 à 55 ans";4753
2012;"titulaires";"Masculin";"PR";"Sciences";"56 ans et plus";1857
2013;"non permanents";"Féminin";"ATER";"Droit, économie et gestion";"Non précisé";666
2013;"non permanents";"Féminin";"ATER";"Lettres et sciences humaines";"Non précisé";1053
2013;"non permanents";"Féminin";"ATER";"Pharmacie";"Non précisé";44
2013;"non permanents";"Féminin";"ATER";"Sciences";"Non précisé";636
2013;"non permanents";"Féminin";"DOCT AVEC ENS";"Droit, économie et gestion";"Non précisé";533
2013;"non permanents";"Féminin";"DOCT AVEC ENS";"Lettres et sciences humaines";"Non précisé";978
2013;"non permanents";"Féminin";"DOCT AVEC ENS";"Personnel des grands établissements";"Non précisé";10
2013;"non permanents";"Féminin";"DOCT AVEC ENS";"Pharmacie";"Non précisé";63
2013;"non permanents";"Féminin";"DOCT AVEC ENS";"Sciences";"Non précisé";1620
2013;"non permanents";"Féminin";"DOCT SANS ENS";"Droit, économie et gestion";"Non précisé";261
2013;"non permanents";"Féminin";"DOCT SANS ENS";"Lettres et sciences humaines";"Non précisé";627
2013;"non permanents";"Féminin";"DOCT SANS ENS";"Pharmacie";"Non précisé";90
2013;"non permanents";"Féminin";"DOCT SANS ENS";"Sciences";"Non précisé";1997
2013;"non permanents";"Féminin";"MCF ASS-INV";"Droit, économie et gestion";"Non précisé";201
2013;"non permanents";"Féminin";"MCF ASS-INV";"Lettres et sciences humaines";"Non précisé";267
2013;"non permanents";"Féminin";"MCF ASS-INV";"Personnel des grands établissements";"Non précisé";2
2013;"non permanents";"Féminin";"MCF ASS-INV";"Pharmacie";"Non précisé";11
2013;"non permanents";"Féminin";"MCF ASS-INV";"Sciences";"Non précisé";78
2013;"non permanents";"Féminin";"PR ASS-INV";"Droit, économie et gestion";"Non précisé";62
2013;"non permanents";"Féminin";"PR ASS-INV";"Lettres et sciences humaines";"Non précisé";63
2013;"non permanents";"Féminin";"PR ASS-INV";"Personnel des grands établissements";"Non précisé";2
2013;"non permanents";"Féminin";"PR ASS-INV";"Pharmacie";"Non précisé";10
2013;"non permanents";"Féminin";"PR ASS-INV";"Sciences";"Non précisé";35
2013;"non permanents";"Masculin";"ATER";"Droit, économie et gestion";"Non précisé";681
2013;"non permanents";"Masculin";"ATER";"Lettres et sciences humaines";"Non précisé";643
2013;"non permanents";"Masculin";"ATER";"Pharmacie";"Non précisé";36
2013;"non permanents";"Masculin";"ATER";"Sciences";"Non précisé";1112
2013;"non permanents";"Masculin";"DOCT AVEC ENS";"Droit, économie et gestion";"Non précisé";517
2013;"non permanents";"Masculin";"DOCT AVEC ENS";"Lettres et sciences humaines";"Non précisé";653
2013;"non permanents";"Masculin";"DOCT AVEC ENS";"Personnel des grands établissements";"Non précisé";6
2013;"non permanents";"Masculin";"DOCT AVEC ENS";"Pharmacie";"Non précisé";38
2013;"non permanents";"Masculin";"DOCT AVEC ENS";"Sciences";"Non précisé";3019
2013;"non permanents";"Masculin";"DOCT SANS ENS";"Droit, économie et gestion";"Non précisé";261
2013;"non permanents";"Masculin";"DOCT SANS ENS";"Lettres et sciences humaines";"Non précisé";425
2013;"non permanents";"Masculin";"DOCT SANS ENS";"Pharmacie";"Non précisé";73
2013;"non permanents";"Masculin";"DOCT SANS ENS";"Sciences";"Non précisé";3017
2013;"non permanents";"Masculin";"MCF ASS-INV";"Droit, économie et gestion";"Non précisé";553
2013;"non permanents";"Masculin";"MCF ASS-INV";"Lettres et sciences humaines";"Non précisé";396
2013;"non permanents";"Masculin";"MCF ASS-INV";"Personnel des grands établissements";"Non précisé";1
2013;"non permanents";"Masculin";"MCF ASS-INV";"Pharmacie";"Non précisé";19
2013;"non permanents";"Masculin";"MCF ASS-INV";"Sciences";"Non précisé";295
2013;"non permanents";"Masculin";"PR ASS-INV";"Droit, économie et gestion";"Non précisé";334
2013;"non permanents";"Masculin";"PR ASS-INV";"Lettres et sciences humaines";"Non précisé";178
2013;"non permanents";"Masculin";"PR ASS-INV";"Personnel des grands établissements";"Non précisé";3
2013;"non permanents";"Masculin";"PR ASS-INV";"Pharmacie";"Non précisé";20
2013;"non permanents";"Masculin";"PR ASS-INV";"Sciences";"Non précisé";203
2013;"non permanents";"Non renseigné";"CONT 2D";"Droit, économie et gestion";"Non précisé";112
2013;"non permanents";"Non renseigné";"CONT 2D";"Lettres et sciences humaines";"Non précisé";341
2013;"non permanents";"Non renseigné";"CONT 2D";"Non spécifiée";"Non précisé";49
2013;"non permanents";"Non renseigné";"CONT 2D";"Personnel des grands établissements";"Non précisé";2
2013;"non permanents";"Non renseigné";"CONT 2D";"Sciences";"Non précisé";95
2013;"non permanents";"Non renseigné";"LECTEUR ET REP";"Lettres et sciences humaines";"Non précisé";852
2013;"non permanents";"Non renseigné";"MAITRE LANGUE";"Lettres et sciences humaines";"Non précisé";154
2013;"non permanents";"Non renseigné";"MCF ASS-INV";"Droit, économie et gestion";"Non précisé";112
2013;"non permanents";"Non renseigné";"MCF ASS-INV";"Lettres et sciences humaines";"Non précisé";100
2013;"non permanents";"Non renseigné";"MCF ASS-INV";"Non spécifiée";"Non précisé";32
2013;"non permanents";"Non renseigné";"MCF ASS-INV";"Personnel des grands établissements";"Non précisé";17
2013;"non permanents";"Non renseigné";"MCF ASS-INV";"Pharmacie";"Non précisé";6
2013;"non permanents";"Non renseigné";"MCF ASS-INV";"Sciences";"Non précisé";155
2013;"non permanents";"Non renseigné";"PR ASS-INV";"Droit, économie et gestion";"Non précisé";659
2013;"non permanents";"Non renseigné";"PR ASS-INV";"Lettres et sciences humaines";"Non précisé";549
2013;"non permanents";"Non renseigné";"PR ASS-INV";"Non spécifiée";"Non précisé";165
2013;"non permanents";"Non renseigné";"PR ASS-INV";"Personnel des grands établissements";"Non précisé";15
2013;"non permanents";"Non renseigné";"PR ASS-INV";"Pharmacie";"Non précisé";6
2013;"non permanents";"Non renseigné";"PR ASS-INV";"Sciences";"Non précisé";745
2013;"titulaires";"Féminin";"AM2D";"Non spécifiée";"35 ans et moins";830
2013;"titulaires";"Féminin";"AM2D";"Non spécifiée";"36 à 55 ans";3682
2013;"titulaires";"Féminin";"AM2D";"Non spécifiée";"56 ans et plus";1243
2013;"titulaires";"Féminin";"MCF";"Droit, économie et gestion";"35 ans et moins";545
2013;"titulaires";"Féminin";"MCF";"Droit, économie et gestion";"36 à 55 ans";1727
2013;"titulaires";"Féminin";"MCF";"Droit, économie et gestion";"56 ans et plus";260
2013;"titulaires";"Féminin";"MCF";"Lettres et sciences humaines";"35 ans et moins";900
2013;"titulaires";"Féminin";"MCF";"Lettres et sciences humaines";"36 à 55 ans";4160
2013;"titulaires";"Féminin";"MCF";"Lettres et sciences humaines";"56 ans et plus";945
2013;"titulaires";"Féminin";"MCF";"Médecine";"35 ans et moins";55
2013;"titulaires";"Féminin";"MCF";"Médecine";"36 à 55 ans";516
2013;"titulaires";"Féminin";"MCF";"Médecine";"56 ans et plus";192
2013;"titulaires";"Féminin";"MCF";"Odontologie";"35 ans et moins";24
2013;"titulaires";"Féminin";"MCF";"Odontologie";"36 à 55 ans";83
2013;"titulaires";"Féminin";"MCF";"Odontologie";"56 ans et plus";29
2013;"titulaires";"Féminin";"MCF";"Personnel des grands établissements";"35 ans et moins";33
2013;"titulaires";"Féminin";"MCF";"Personnel des grands établissements";"36 à 55 ans";150
2013;"titulaires";"Féminin";"MCF";"Personnel des grands établissements";"56 ans et plus";18
2013;"titulaires";"Féminin";"MCF";"Pharmacie";"35 ans et moins";129
2013;"titulaires";"Féminin";"MCF";"Pharmacie";"36 à 55 ans";467
2013;"titulaires";"Féminin";"MCF";"Pharmacie";"56 ans et plus";111
2013;"titulaires";"Féminin";"MCF";"Sciences";"35 ans et moins";1194
2013;"titulaires";"Féminin";"MCF";"Sciences";"36 à 55 ans";4062
2013;"titulaires";"Féminin";"MCF";"Sciences";"56 ans et plus";339
2013;"titulaires";"Féminin";"PR";"Droit, économie et gestion";"35 ans et moins";38
2013;"titulaires";"Féminin";"PR";"Droit, économie et gestion";"36 à 55 ans";458
2013;"titulaires";"Féminin";"PR";"Droit, économie et gestion";"56 ans et plus";121
2013;"titulaires";"Féminin";"PR";"Lettres et sciences humaines";"36 à 55 ans";878
2013;"titulaires";"Féminin";"PR";"Lettres et sciences humaines";"56 ans et plus";714
2013;"titulaires";"Féminin";"PR";"Médecine";"35 ans et moins";1
2013;"titulaires";"Féminin";"PR";"Médecine";"36 à 55 ans";435
2013;"titulaires";"Féminin";"PR";"Médecine";"56 ans et plus";210
2013;"titulaires";"Féminin";"PR";"Odontologie";"36 à 55 ans";27
2013;"titulaires";"Féminin";"PR";"Odontologie";"56 ans et plus";25
2013;"titulaires";"Féminin";"PR";"Personnel des grands établissements";"36 à 55 ans";62
2013;"titulaires";"Féminin";"PR";"Personnel des grands établissements";"56 ans et plus";70
2013;"titulaires";"Féminin";"PR";"Pharmacie";"36 à 55 ans";140
2013;"titulaires";"Féminin";"PR";"Pharmacie";"56 ans et plus";60
2013;"titulaires";"Féminin";"PR";"Sciences";"35 ans et moins";7
2013;"titulaires";"Féminin";"PR";"Sciences";"36 à 55 ans";1064
2013;"titulaires";"Féminin";"PR";"Sciences";"56 ans et plus";268
2013;"titulaires";"Masculin";"AM2D";"Non spécifiée";"35 ans et moins";649
2013;"titulaires";"Masculin";"AM2D";"Non spécifiée";"36 à 55 ans";4660
2013;"titulaires";"Masculin";"AM2D";"Non spécifiée";"56 ans et plus";1990
2013;"titulaires";"Masculin";"MCF";"Droit, économie et gestion";"35 ans et moins";518
2013;"titulaires";"Masculin";"MCF";"Droit, économie et gestion";"36 à 55 ans";1723
2013;"titulaires";"Masculin";"MCF";"Droit, économie et gestion";"56 ans et plus";517
2013;"titulaires";"Masculin";"MCF";"Lettres et sciences humaines";"35 ans et moins";544
2013;"titulaires";"Masculin";"MCF";"Lettres et sciences humaines";"36 à 55 ans";3132
2013;"titulaires";"Masculin";"MCF";"Lettres et sciences humaines";"56 ans et plus";980
2013;"titulaires";"Masculin";"MCF";"Médecine";"35 ans et moins";76
2013;"titulaires";"Masculin";"MCF";"Médecine";"36 à 55 ans";478
2013;"titulaires";"Masculin";"MCF";"Médecine";"56 ans et plus";206
2013;"titulaires";"Masculin";"MCF";"Odontologie";"35 ans et moins";21
2013;"titulaires";"Masculin";"MCF";"Odontologie";"36 à 55 ans";145
2013;"titulaires";"Masculin";"MCF";"Odontologie";"56 ans et plus";100
2013;"titulaires";"Masculin";"MCF";"Personnel des grands établissements";"35 ans et moins";48
2013;"titulaires";"Masculin";"MCF";"Personnel des grands établissements";"36 à 55 ans";198
2013;"titulaires";"Masculin";"MCF";"Personnel des grands établissements";"56 ans et plus";41
2013;"titulaires";"Masculin";"MCF";"Pharmacie";"35 ans et moins";94
2013;"titulaires";"Masculin";"MCF";"Pharmacie";"36 à 55 ans";315
2013;"titulaires";"Masculin";"MCF";"Pharmacie";"56 ans et plus";78
2013;"titulaires";"Masculin";"MCF";"Sciences";"35 ans et moins";2890
2013;"titulaires";"Masculin";"MCF";"Sciences";"36 à 55 ans";7445
2013;"titulaires";"Masculin";"MCF";"Sciences";"56 ans et plus";1050
2013;"titulaires";"Masculin";"PR";"Droit, économie et gestion";"35 ans et moins";73
2013;"titulaires";"Masculin";"PR";"Droit, économie et gestion";"36 à 55 ans";997
2013;"titulaires";"Masculin";"PR";"Droit, économie et gestion";"56 ans et plus";641
2013;"titulaires";"Masculin";"PR";"Lettres et sciences humaines";"36 à 55 ans";1357
2013;"titulaires";"Masculin";"PR";"Lettres et sciences humaines";"56 ans et plus";1476
2013;"titulaires";"Masculin";"PR";"Médecine";"35 ans et moins";1
2013;"titulaires";"Masculin";"PR";"Médecine";"36 à 55 ans";1907
2013;"titulaires";"Masculin";"PR";"Médecine";"56 ans et plus";1674
2013;"titulaires";"Masculin";"PR";"Odontologie";"36 à 55 ans";35
2013;"titulaires";"Masculin";"PR";"Odontologie";"56 ans et plus";44
2013;"titulaires";"Masculin";"PR";"Personnel des grands établissements";"36 à 55 ans";187
2013;"titulaires";"Masculin";"PR";"Personnel des grands établissements";"56 ans et plus";280
2013;"titulaires";"Masculin";"PR";"Pharmacie";"35 ans et moins";4
2013;"titulaires";"Masculin";"PR";"Pharmacie";"36 à 55 ans";198
2013;"titulaires";"Masculin";"PR";"Pharmacie";"56 ans et plus";178
2013;"titulaires";"Masculin";"PR";"Sciences";"35 ans et moins";56
2013;"titulaires";"Masculin";"PR";"Sciences";"36 à 55 ans";4760
2013;"titulaires";"Masculin";"PR";"Sciences";"56 ans et plus";1896
2014;"non permanents";"Féminin";"ATER";"Droit, économie et gestion";"Non précisé";680
2014;"non permanents";"Féminin";"ATER";"Lettres et sciences humaines";"Non précisé";1010
2014;"non permanents";"Féminin";"ATER";"Non spécifiée";"Non précisé";37
2014;"non permanents";"Féminin";"ATER";"Pharmacie";"Non précisé";47
2014;"non permanents";"Féminin";"ATER";"Sciences";"Non précisé";593
2014;"non permanents";"Féminin";"DOCT AVEC ENS";"Droit, économie et gestion";"Non précisé";495
2014;"non permanents";"Féminin";"DOCT AVEC ENS";"Lettres et sciences humaines";"Non précisé";944
2014;"non permanents";"Féminin";"DOCT AVEC ENS";"Non spécifiée";"Non précisé";18
2014;"non permanents";"Féminin";"DOCT AVEC ENS";"Pharmacie";"Non précisé";48
2014;"non permanents";"Féminin";"DOCT AVEC ENS";"Sciences";"Non précisé";1561
2014;"non permanents";"Féminin";"DOCT SANS ENS";"Droit, économie et gestion";"Non précisé";307
2014;"non permanents";"Féminin";"DOCT SANS ENS";"Lettres et sciences humaines";"Non précisé";686
2014;"non permanents";"Féminin";"DOCT SANS ENS";"Non spécifiée";"Non précisé";19
2014;"non permanents";"Féminin";"DOCT SANS ENS";"Personnel des grands établissements";"Non précisé";82
2014;"non permanents";"Féminin";"DOCT SANS ENS";"Pharmacie";"Non précisé";87
2014;"non permanents";"Féminin";"DOCT SANS ENS";"Sciences";"Non précisé";1997
2014;"non permanents";"Féminin";"MCF ASS-INV";"Droit, économie et gestion";"Non précisé";195
2014;"non permanents";"Féminin";"MCF ASS-INV";"Lettres et sciences humaines";"Non précisé";286
2014;"non permanents";"Féminin";"MCF ASS-INV";"Personnel des grands établissements";"Non précisé";7
2014;"non permanents";"Féminin";"MCF ASS-INV";"Pharmacie";"Non précisé";10
2014;"non permanents";"Féminin";"MCF ASS-INV";"Sciences";"Non précisé";80
2014;"non permanents";"Féminin";"PR ASS-INV";"Droit, économie et gestion";"Non précisé";62
2014;"non permanents";"Féminin";"PR ASS-INV";"Lettres et sciences humaines";"Non précisé";62
2014;"non permanents";"Féminin";"PR ASS-INV";"Personnel des grands établissements";"Non précisé";2
2014;"non permanents";"Féminin";"PR ASS-INV";"Pharmacie";"Non précisé";14
2014;"non permanents";"Féminin";"PR ASS-INV";"Sciences";"Non précisé";29
2014;"non permanents";"Masculin";"ATER";"Droit, économie et gestion";"Non précisé";638
2014;"non permanents";"Masculin";"ATER";"Lettres et sciences humaines";"Non précisé";641
2014;"non permanents";"Masculin";"ATER";"Non spécifiée";"Non précisé";33
2014;"non permanents";"Masculin";"ATER";"Pharmacie";"Non précisé";34
2014;"non permanents";"Masculin";"ATER";"Sciences";"Non précisé";1007
